Id,CO2 Emissions(g/km)
55079,953.60657
55080,376.23077
55081,913.3425
55082,664.90894
55083,575.7105
55084,514.92926
55085,889.3178
55086,560.61584
55087,676.57764
55088,529.0857
55089,684.5912
55090,629.974
55091,876.7837
55092,874.63477
55093,720.4753
55094,495.8804
55095,570.60565
55096,637.491
55097,656.61536
55098,537.1841
55099,586.9984
55100,583.0395
55101,583.0817
55102,507.06723
55103,327.20764
55104,485.27756
55105,233.21239
55106,505.2796
55107,718.4021
55108,573.2562
55109,874.5842
55110,620.7156
55111,861.1756
55112,751.3239
55113,607.2304
55114,740.2428
55115,511.62762
55116,749.36755
55117,537.71313
55118,986.811
55119,798.0787
55120,1248.796
55121,804.50287
55122,489.21518
55123,385.7007
55124,561.16876
55125,522.4473
55126,497.59122
55127,570.87695
55128,355.5991
55129,568.36444
55130,689.03284
55131,512.49866
55132,690.75525
55133,502.14252
55134,537.3279
55135,458.36343
55136,971.1792
55137,614.3087
55138,812.61847
55139,587.6745
55140,584.91797
55141,479.63077
55142,356.76297
55143,525.15326
55144,549.35803
55145,647.27423
55146,472.7345
55147,523.7465
55148,582.80817
55149,461.05984
55150,453.5292
55151,552.37976
55152,473.50137
55153,534.881
55154,536.6971
55155,875.0365
55156,624.12366
55157,489.18307
55158,705.6421
55159,562.3225
55160,540.3506
55161,616.80396
55162,990.2067
55163,359.15103
55164,217.23619
55165,520.83215
55166,503.48053
55167,851.99255
55168,665.72253
55169,547.46954
55170,518.5044
55171,634.298
55172,775.38104
55173,827.4039
55174,548.559
55175,685.32416
55176,875.18036
55177,189.27786
55178,485.69583
55179,462.35452
55180,601.6034
55181,859.3764
55182,763.348
55183,629.2545
55184,750.8904
55185,758.8976
55186,767.27966
55187,353.81833
55188,677.3574
55189,572.2589
55190,335.97232
55191,618.63556
55192,675.7219
55193,838.53503
55194,504.10437
55195,530.92224
55196,722.49164
55197,722.4614
55198,666.1624
55199,527.235
55200,584.55206
55201,778.8282
55202,487.7333
55203,418.34924
55204,511.81207
55205,189.27786
55206,614.3456
55207,478.28546
55208,737.9718
55209,447.2875
55210,589.73737
55211,797.299
55212,515.9163
55213,879.67206
55214,523.7494
55215,484.0827
55216,759.30945
55217,499.213
55218,670.7229
55219,572.8803
55220,553.7352
55221,462.09024
55222,588.88776
55223,738.74774
55224,201.8575
55225,637.1031
55226,875.7789
55227,564.48486
55228,719.438
55229,907.57465
55230,499.60098
55231,513.3363
55232,468.19318
55233,899.3233
55234,474.3138
55235,458.83524
55236,726.15625
55237,563.8447
55238,782.66473
55239,572.1489
55240,550.49335
55241,684.44666
55242,530.6421
55243,880.26245
55244,483.35944
55245,551.6123
55246,611.8955
55247,793.8876
55248,221.23024
55249,462.67514
55250,644.1907
55251,899.4632
55252,715.03784
55253,542.0473
55254,658.40564
55255,1081.5739
55256,855.27527
55257,526.2165
55258,494.26138
55259,488.94788
55260,644.68536
55261,817.72107
55262,517.6604
55263,655.17163
55264,553.7114
55265,766.10815
55266,874.4848
55267,181.28976
55268,657.4771
55269,792.44293
55270,485.5089
55271,972.1931
55272,801.126
55273,635.2778
55274,1030.5945
55275,618.72095
55276,580.1791
55277,745.13947
55278,733.02344
55279,548.8715
55280,780.64703
55281,392.61972
55282,750.93976
55283,771.15765
55284,894.9536
55285,558.216
55286,755.72577
55287,531.1063
55288,715.26685
55289,416.70593
55290,657.69385
55291,550.0354
55292,701.61835
55293,914.0281
55294,698.8623
55295,579.55817
55296,949.96375
55297,723.8402
55298,530.3608
55299,454.6064
55300,534.51715
55301,650.69885
55302,907.76935
55303,754.8382
55304,591.1398
55305,769.51624
55306,600.9277
55307,998.09015
55308,495.29327
55309,522.5855
55310,842.4726
55311,616.0966
55312,560.3067
55313,792.78973
55314,451.8635
55315,535.7096
55316,505.8756
55317,601.43207
55318,444.01666
55319,862.3088
55320,754.38043
55321,465.93777
55322,829.7204
55323,575.91895
55324,600.4698
55325,968.6172
55326,782.66473
55327,444.71463
55328,865.29364
55329,903.4321
55330,225.22429
55331,512.8976
55332,570.26404
55333,600.1769
55334,838.6434
55335,848.5093
55336,615.852
55337,498.2336
55338,233.21239
55339,536.94763
55340,679.32
55341,1162.1039
55342,537.8052
55343,700.45605
55344,502.2467
55345,484.97833
55346,565.5017
55347,720.4684
55348,518.7699
55349,773.4854
55350,887.9139
55351,609.55817
55352,443.3254
55353,497.8202
55354,792.85815
55355,615.9994
55356,565.2417
55357,469.82498
55358,649.03436
55359,666.1998
55360,630.2149
55361,776.797
55362,883.9644
55363,826.97925
55364,848.5924
55365,645.28876
55366,938.36694
55367,849.7665
55368,467.3474
55369,613.8447
55370,943.28326
55371,448.4548
55372,753.8213
55373,690.1578
55374,764.7599
55375,749.33856
55376,741.6792
55377,548.58826
55378,756.9368
55379,189.27786
55380,505.06464
55381,205.25404
55382,522.96
55383,685.06976
55384,685.4144
55385,560.00446
55386,594.8158
55387,586.3952
55388,680.7577
55389,538.8797
55390,573.1474
55391,639.88293
55392,530.14874
55393,902.15985
55394,472.444
55395,469.30136
55396,466.16672
55397,586.0952
55398,550.42334
55399,217.8337
55400,470.9155
55401,832.99994
55402,518.99884
55403,699.88257
55404,749.572
55405,688.742
55406,297.11716
55407,811.60614
55408,205.25404
55409,754.59827
55410,766.8396
55411,602.18695
55412,435.7473
55413,726.8204
55414,485.24655
55415,653.91644
55416,596.68524
55417,570.80615
55418,552.6979
55419,727.5921
55420,559.0248
55421,545.8267
55422,492.47784
55423,631.9154
55424,532.6263
55425,415.90146
55426,767.1991
55427,565.3402
55428,552.9642
55429,817.1292
55430,501.32333
55431,539.3526
55432,828.48016
55433,1181.424
55434,598.0355
55435,467.71854
55436,783.3708
55437,590.0697
55438,489.12616
55439,842.4164
55440,1046.5627
55441,529.32697
55442,603.1409
55443,607.7527
55444,607.52893
55445,642.5829
55446,617.8197
55447,297.71463
55448,607.00635
55449,898.20264
55450,656.2274
55451,584.95575
55452,1041.2122
55453,480.79465
55454,632.53217
55455,464.84387
55456,551.86865
55457,734.65
55458,708.21326
55459,457.3714
55460,785.41693
55461,583.2095
55462,601.3755
55463,479.24277
55464,625.1588
55465,445.25458
55466,535.6076
55467,569.4332
55468,519.0688
55469,512.49866
55470,261.76822
55471,943.97473
55472,682.0493
55473,560.28125
55474,832.5947
55475,699.17615
55476,789.1821
55477,370.1315
55478,664.1771
55479,555.4284
55480,388.4164
55481,621.5281
55482,841.6707
55483,509.2257
55484,567.1544
55485,571.055
55486,789.68414
55487,936.4614
55488,604.7182
55489,181.28976
55490,753.4251
55491,748.88586
55492,565.23566
55493,731.02094
55494,870.3153
55495,606.7058
55496,725.35333
55497,670.23755
55498,640.8933
55499,241.79799
55500,822.7372
55501,750.24646
55502,484.2574
55503,546.3403
55504,728.3938
55505,640.32275
55506,419.96335
55507,631.7162
55508,809.08234
55509,315.2255
55510,221.23024
55511,540.7738
55512,613.5918
55513,205.25404
55514,572.3588
55515,486.41046
55516,629.82697
55517,531.1915
55518,394.1658
55519,650.6815
55520,496.5562
55521,798.997
55522,462.56064
55523,621.7438
55524,567.10547
55525,610.4536
55526,573.79584
55527,891.56415
55528,485.79352
55529,923.3515
55530,364.03494
55531,539.24866
55532,530.1669
55533,683.7115
55534,751.2784
55535,636.6084
55536,711.7734
55537,545.8629
55538,479.63257
55539,854.0533
55540,442.9593
55541,380.00418
55542,611.40857
55543,611.7112
55544,438.6696
55545,583.96216
55546,1073.1279
55547,432.74496
55548,508.7275
55549,565.3402
55550,816.88477
55551,582.90515
55552,478.7404
55553,798.9289
55554,633.29126
55555,434.0959
55556,772.8494
55557,524.91327
55558,489.7496
55559,525.91675
55560,559.99475
55561,653.88025
55562,859.5189
55563,543.85785
55564,566.2544
55565,626.78723
55566,485.04697
55567,454.569
55568,502.4341
55569,846.5695
55570,647.4825
55571,519.15784
55572,522.2825
55573,625.335
55574,677.036
55575,660.6791
55576,500.285
55577,555.5428
55578,618.43317
55579,596.2722
55580,652.52594
55581,544.48364
55582,482.53088
55583,797.9076
55584,808.38245
55585,677.17865
55586,939.4037
55587,456.23886
55588,573.79584
55589,625.5172
55590,565.0064
55591,763.5385
55592,754.08154
55593,720.8651
55594,753.9731
55595,481.85556
55596,873.68005
55597,877.73126
55598,825.0703
55599,572.1796
55600,499.91046
55601,617.209
55602,1084.22
55603,365.95944
55604,552.7934
55605,446.26645
55606,828.8696
55607,928.0404
55608,568.58734
55609,585.1725
55610,1014.8722
55611,509.1676
55612,748.61206
55613,457.51718
55614,628.3936
55615,573.40955
55616,514.5023
55617,491.61288
55618,478.09265
55619,476.15128
55620,543.7828
55621,684.6948
55622,265.16476
55623,512.5352
55624,743.42004
55625,671.3577
55626,451.05734
55627,515.6387
55628,504.05295
55629,703.17017
55630,630.3168
55631,713.1822
55632,753.719
55633,502.27856
55634,646.1421
55635,189.27786
55636,660.29114
55637,377.5956
55638,769.1228
55639,566.0116
55640,612.5724
55641,225.22429
55642,514.0314
55643,505.2168
55644,673.959
55645,506.65417
55646,497.69724
55647,639.7485
55648,519.8508
55649,681.6907
55650,535.34033
55651,588.4726
55652,596.39874
55653,557.2221
55654,752.07117
55655,713.044
55656,1078.3468
55657,606.2187
55658,592.876
55659,607.28937
55660,534.97504
55661,731.5352
55662,759.11975
55663,498.74597
55664,633.7032
55665,626.74426
55666,784.01117
55667,365.30258
55668,704.76654
55669,577.7648
55670,454.2991
55671,556.9209
55672,762.1299
55673,513.46783
55674,383.214
55675,982.48645
55676,440.10428
55677,551.92535
55678,491.58157
55679,908.1572
55680,618.4618
55681,774.919
55682,542.84863
55683,703.0557
55684,572.23083
55685,940.2986
55686,602.18695
55687,546.6137
55688,445.4555
55689,499.696
55690,932.4887
55691,616.56555
55692,769.08624
55693,619.4796
55694,560.5322
55695,586.5348
55696,523.36145
55697,515.1953
55698,585.62085
55699,322.38968
55700,297.71463
55701,456.3718
55702,563.0224
55703,497.16672
55704,622.22076
55705,535.0002
55706,823.32227
55707,565.15424
55708,699.29065
55709,480.34775
55710,501.8222
55711,510.7385
55712,574.4766
55713,1039.0641
55714,608.95844
55715,531.5583
55716,580.32074
55717,637.2759
55718,492.9664
55719,517.3954
55720,269.15878
55721,337.7636
55722,938.1953
55723,428.14697
55724,895.0231
55725,567.8098
55726,601.7096
55727,829.79004
55728,944.9452
55729,427.0466
55730,610.1941
55731,205.25404
55732,205.25404
55733,699.29065
55734,740.414
55735,623.04724
55736,358.58817
55737,505.5154
55738,756.4086
55739,722.9575
55740,623.83167
55741,464.70395
55742,548.8637
55743,692.1301
55744,613.8257
55745,706.65234
55746,452.4738
55747,531.0255
55748,555.7683
55749,517.88635
55750,588.4482
55751,922.0286
55752,727.22504
55753,441.4965
55754,562.0175
55755,714.69446
55756,351.8671
55757,842.2052
55758,581.36615
55759,620.03296
55760,460.8053
55761,856.559
55762,545.30994
55763,494.4567
55764,781.64307
55765,783.39404
55766,566.3344
55767,977.49506
55768,189.27786
55769,576.67535
55770,424.81436
55771,934.7169
55772,587.6503
55773,461.8588
55774,509.48434
55775,729.839
55776,754.5476
55777,201.8575
55778,640.9826
55779,760.9743
55780,902.46545
55781,714.30597
55782,479.33197
55783,451.9774
55784,486.33603
55785,549.636
55786,791.4713
55787,745.9154
55788,528.2287
55789,793.3602
55790,743.1451
55791,610.9751
55792,325.07547
55793,571.1504
55794,749.8556
55795,957.72064
55796,528.71124
55797,462.24988
55798,487.5653
55799,375.6393
55800,871.7784
55801,542.7593
55802,706.2738
55803,541.5703
55804,626.4221
55805,624.39557
55806,540.4982
55807,543.1139
55808,590.06494
55809,502.7997
55810,500.38556
55811,882.2035
55812,371.4851
55813,488.7382
55814,637.7126
55815,539.63055
55816,510.55283
55817,646.0199
55818,435.67715
55819,892.3137
55820,852.5399
55821,581.1652
55822,483.08755
55823,530.1796
55824,550.49335
55825,205.25404
55826,201.8575
55827,535.35706
55828,532.1894
55829,913.1702
55830,559.89935
55831,683.31445
55832,639.904
55833,600.5784
55834,565.99524
55835,602.32117
55836,576.73444
55837,647.18384
55838,632.243
55839,450.28912
55840,704.83014
55841,233.21239
55842,615.3631
55843,546.7283
55844,640.0944
55845,550.0016
55846,902.6765
55847,842.374
55848,604.80725
55849,540.9481
55850,684.9893
55851,529.86163
55852,650.28357
55853,600.8577
55854,642.1315
55855,706.95435
55856,462.67514
55857,639.1589
55858,524.22675
55859,485.32224
55860,221.23024
55861,753.40063
55862,197.26595
55863,675.8876
55864,563.1415
55865,594.15594
55866,554.99774
55867,555.78455
55868,535.1265
55869,848.2564
55870,538.9123
55871,518.821
55872,546.35614
55873,774.45984
55874,791.453
55875,265.16476
55876,560.40216
55877,719.089
55878,477.95468
55879,437.91586
55880,531.4524
55881,470.98117
55882,645.3581
55883,664.6107
55884,871.9313
55885,506.97214
55886,520.13275
55887,434.23984
55888,366.37878
55889,703.0022
55890,466.37247
55891,710.86176
55892,926.9602
55893,733.47534
55894,561.53253
55895,571.98474
55896,453.2221
55897,594.9109
55898,496.83435
55899,828.9647
55900,748.05066
55901,699.9219
55902,828.6103
55903,543.4971
55904,686.1967
55905,491.33853
55906,611.88556
55907,765.44714
55908,470.14584
55909,653.1044
55910,400.9428
55911,478.0344
55912,818.29486
55913,523.2521
55914,673.7821
55915,943.2152
55916,816.8909
55917,579.02563
55918,628.67334
55919,861.86707
55920,672.8237
55921,555.2633
55922,813.4213
55923,511.91385
55924,924.5024
55925,747.5777
55926,543.90405
55927,673.62585
55928,683.8713
55929,535.4408
55930,560.3196
55931,521.10767
55932,734.30896
55933,806.8914
55934,638.2669
55935,506.6898
55936,485.528
55937,598.212
55938,478.8358
55939,607.82947
55940,729.1317
55941,502.79367
55942,627.20667
55943,475.18738
55944,473.70297
55945,627.70276
55946,603.693
55947,635.77435
55948,909.919
55949,729.16327
55950,464.06232
55951,625.58044
55952,916.19025
55953,449.6669
55954,652.9648
55955,495.7214
55956,448.10886
55957,629.39386
55958,483.51028
55959,680.0497
55960,566.32635
55961,714.69446
55962,736.7125
55963,679.89276
55964,804.8164
55965,471.98608
55966,617.6779
55967,670.8744
55968,576.9698
55969,480.85815
55970,539.745
55971,460.8053
55972,773.98175
55973,631.4948
55974,817.6873
55975,1108.5087
55976,396.95145
55977,488.7382
55978,483.91537
55979,201.8575
55980,751.8066
55981,924.7707
55982,669.39856
55983,269.15878
55984,531.5583
55985,467.4896
55986,502.47568
55987,905.0133
55988,494.42487
55989,765.20667
55990,577.56335
55991,726.0786
55992,577.67535
55993,562.95154
55994,664.41907
55995,713.64655
55996,490.2264
55997,693.8608
55998,906.84735
55999,782.5079
56000,201.8575
56001,525.40967
56002,759.4049
56003,712.228
56004,718.9351
56005,582.30804
56006,608.7693
56007,492.32486
56008,463.47104
56009,531.39307
56010,743.2929
56011,469.20047
56012,501.27084
56013,805.38684
56014,427.02542
56015,511.0107
56016,516.2141
56017,611.6124
56018,579.60913
56019,565.5859
56020,541.3938
56021,629.58276
56022,832.0513
56023,185.88132
56024,549.33966
56025,756.79724
56026,631.24713
56027,473.3789
56028,719.92615
56029,554.32837
56030,888.7138
56031,517.87775
56032,558.91034
56033,604.11365
56034,221.23024
56035,860.3365
56036,524.92664
56037,527.4397
56038,621.68396
56039,781.0583
56040,693.3728
56041,297.71463
56042,577.5144
56043,487.631
56044,647.5122
56045,638.3814
56046,495.9504
56047,515.8541
56048,596.8987
56049,743.7208
56050,484.22412
56051,613.4377
56052,477.85855
56053,851.4761
56054,569.91626
56055,539.16113
56056,539.26764
56057,594.43475
56058,444.2985
56059,944.3563
56060,796.60583
56061,630.4184
56062,642.2625
56063,711.1268
56064,989.8381
56065,695.2851
56066,568.37415
56067,600.8196
56068,479.9708
56069,498.85736
56070,580.3672
56071,488.11963
56072,484.81302
56073,679.5121
56074,775.8326
56075,698.0313
56076,529.4622
56077,451.19064
56078,918.49255
56079,778.8282
56080,544.0837
56081,906.9264
56082,619.85614
56083,744.2951
56084,676.9189
56085,531.8399
56086,570.2791
56087,525.7531
56088,780.295
56089,782.022
56090,737.9718
56091,518.31195
56092,641.28125
56093,201.8575
56094,581.87964
56095,768.88086
56096,537.00385
56097,566.0367
56098,586.3705
56099,598.14484
56100,583.565
56101,816.18005
56102,906.92377
56103,605.01715
56104,621.21594
56105,559.82935
56106,435.2201
56107,566.0367
56108,741.4374
56109,726.54266
56110,731.18195
56111,918.359
56112,647.56464
56113,412.0118
56114,594.15436
56115,1036.7269
56116,415.02643
56117,562.91394
56118,803.92444
56119,545.6598
56120,269.15878
56121,456.4678
56122,739.63666
56123,738.2008
56124,908.1079
56125,758.9788
56126,205.25404
56127,582.2364
56128,256.57294
56129,235.89116
56130,521.5556
56131,789.92786
56132,597.0481
56133,551.29877
56134,792.1191
56135,601.27734
56136,782.2343
56137,473.01642
56138,665.25183
56139,558.0168
56140,791.1218
56141,624.5231
56142,718.01624
56143,181.28976
56144,514.2368
56145,550.51843
56146,453.7521
56147,498.20816
56148,461.5812
56149,633.376
56150,636.06915
56151,759.1584
56152,617.2219
56153,705.9825
56154,297.71463
56155,797.8316
56156,913.4106
56157,468.8375
56158,491.30978
56159,269.15878
56160,239.2877
56161,653.74243
56162,645.4813
56163,974.2517
56164,517.81946
56165,406.9493
56166,686.2782
56167,636.25684
56168,763.48755
56169,662.1365
56170,406.769
56171,499.8508
56172,653.6462
56173,628.00616
56174,822.94867
56175,459.3189
56176,688.27264
56177,957.42773
56178,285.13498
56179,489.25546
56180,504.67517
56181,447.6854
56182,600.9337
56183,866.7391
56184,425.9169
56185,403.79474
56186,703.03955
56187,570.60565
56188,473.20688
56189,614.4617
56190,838.10846
56191,555.0102
56192,570.98505
56193,1083.0116
56194,392.61398
56195,476.02463
56196,581.04504
56197,713.7785
56198,428.76392
56199,823.5745
56200,640.87134
56201,738.9228
56202,578.5569
56203,690.0384
56204,476.6591
56205,265.16476
56206,522.59467
56207,887.3617
56208,517.01733
56209,502.2467
56210,509.68784
56211,491.161
56212,639.56384
56213,610.5281
56214,551.6858
56215,564.7777
56216,1057.6481
56217,591.37946
56218,527.30493
56219,940.0743
56220,498.22433
56221,561.7501
56222,473.93106
56223,784.14636
56224,787.5918
56225,613.63855
56226,526.758
56227,507.74808
56228,802.1752
56229,628.36194
56230,598.3442
56231,813.8078
56232,542.74023
56233,461.51123
56234,239.2877
56235,561.58716
56236,456.12778
56237,577.3514
56238,526.16565
56239,741.8514
56240,574.45764
56241,768.1272
56242,598.0145
56243,834.6939
56244,812.9489
56245,549.744
56246,550.15155
56247,608.7059
56248,584.06903
56249,601.06885
56250,644.19196
56251,709.651
56252,699.8103
56253,476.32468
56254,603.5734
56255,908.7474
56256,816.5299
56257,505.5826
56258,398.40683
56259,627.6522
56260,197.26595
56261,779.9856
56262,413.4997
56263,205.25404
56264,575.8447
56265,687.98773
56266,633.2235
56267,560.40405
56268,537.2087
56269,383.6719
56270,503.96356
56271,540.4954
56272,390.2549
56273,657.3245
56274,456.92575
56275,330.2905
56276,269.15878
56277,570.5825
56278,527.0394
56279,878.1192
56280,543.5017
56281,403.9347
56282,627.4377
56283,715.4337
56284,492.2298
56285,945.128
56286,690.49005
56287,509.14304
56288,449.6519
56289,534.51715
56290,503.25156
56291,706.84595
56292,716.95325
56293,1130.6854
56294,569.71466
56295,547.92
56296,476.24103
56297,496.1984
56298,782.5079
56299,755.0034
56300,201.8575
56301,539.44183
56302,687.44025
56303,536.31573
56304,430.2267
56305,563.2259
56306,663.3556
56307,552.3693
56308,748.94904
56309,723.6364
56310,781.4229
56311,617.90875
56312,528.20514
56313,356.26053
56314,621.4954
56315,269.15878
56316,635.6755
56317,564.8728
56318,596.75555
56319,349.63724
56320,769.1228
56321,589.3156
56322,449.41464
56323,793.9398
56324,766.6444
56325,491.84183
56326,624.6881
56327,678.188
56328,542.7593
56329,836.31866
56330,508.32306
56331,575.513
56332,1016.75665
56333,389.12234
56334,553.25323
56335,663.00684
56336,708.60156
56337,741.3235
56338,582.4283
56339,350.7147
56340,613.7531
56341,660.04553
56342,947.0178
56343,770.5602
56344,1002.2527
56345,265.16476
56346,848.501
56347,871.3876
56348,189.27786
56349,686.6721
56350,216.63246
56351,508.07172
56352,479.81848
56353,508.70844
56354,527.6197
56355,569.2849
56356,463.61002
56357,770.52167
56358,468.00797
56359,993.3682
56360,486.79843
56361,475.84348
56362,793.41113
56363,551.2959
56364,517.606
56365,1046.3895
56366,544.8222
56367,530.7652
56368,561.593
56369,476.4451
56370,265.16476
56371,783.46497
56372,499.09232
56373,723.7257
56374,500.7534
56375,561.2671
56376,450.91397
56377,221.82774
56378,804.0389
56379,585.5048
56380,822.8055
56381,926.2132
56382,225.22429
56383,625.41064
56384,437.15854
56385,481.93942
56386,556.7257
56387,957.65674
56388,486.68005
56389,886.467
56390,538.8546
56391,842.7201
56392,510.62277
56393,479.63077
56394,577.7182
56395,450.42554
56396,610.35315
56397,504.54712
56398,576.03094
56399,205.25404
56400,712.57776
56401,480.13318
56402,779.6118
56403,608.4133
56404,578.6806
56405,503.09064
56406,770.6746
56407,790.46686
56408,518.7731
56409,658.0713
56410,465.66428
56411,269.15878
56412,641.25214
56413,793.89014
56414,593.94934
56415,491.81967
56416,201.8575
56417,518.3258
56418,472.24338
56419,731.8805
56420,868.05817
56421,529.86163
56422,683.77234
56423,491.22403
56424,457.24374
56425,660.34686
56426,423.93924
56427,542.7593
56428,524.6548
56429,617.04535
56430,525.2761
56431,554.78595
56432,644.8019
56433,919.6958
56434,538.0087
56435,588.47034
56436,782.2309
56437,718.1998
56438,819.6522
56439,450.41953
56440,573.746
56441,653.006
56442,369.6075
56443,748.52167
56444,664.79205
56445,563.86255
56446,1017.485
56447,483.50516
56448,794.4624
56449,619.16766
56450,912.24677
56451,642.77136
56452,544.2046
56453,536.069
56454,847.68695
56455,544.89984
56456,868.44617
56457,737.9718
56458,513.47186
56459,489.48138
56460,754.47
56461,549.68744
56462,625.9492
56463,542.91144
56464,772.4698
56465,525.77856
56466,580.296
56467,641.0777
56468,656.42847
56469,487.91074
56470,568.2014
56471,205.25404
56472,511.23965
56473,519.82434
56474,548.5786
56475,715.6814
56476,587.9562
56477,508.98193
56478,537.0931
56479,487.38986
56480,557.04364
56481,537.9473
56482,533.5377
56483,534.9051
56484,378.32953
56485,777.782
56486,702.3749
56487,568.84174
56488,520.44415
56489,668.16864
56490,916.5972
56491,506.19028
56492,486.30237
56493,529.5687
56494,550.51843
56495,431.25064
56496,548.377
56497,571.856
56498,497.104
56499,801.0156
56500,563.57416
56501,778.74005
56502,561.6741
56503,499.60098
56504,590.29785
56505,440.2863
56506,239.2877
56507,976.68604
56508,608.2988
56509,783.5471
56510,625.19244
56511,800.1593
56512,617.85425
56513,671.7271
56514,536.85376
56515,498.1382
56516,593.283
56517,508.5378
56518,681.7181
56519,871.3904
56520,181.28976
56521,524.79956
56522,831.89294
56523,681.54126
56524,536.27246
56525,432.18558
56526,636.32715
56527,500.8284
56528,670.0091
56529,611.0397
56530,493.06818
56531,552.14056
56532,519.7748
56533,1178.2642
56534,241.79799
56535,854.1617
56536,752.4927
56537,501.5293
56538,494.91583
56539,523.2794
56540,554.7476
56541,1087.2152
56542,885.4778
56543,449.09665
56544,1119.7299
56545,594.0844
56546,401.74152
56547,1007.14606
56548,689.4406
56549,859.51825
56550,751.12384
56551,740.2428
56552,487.27536
56553,591.17145
56554,356.26266
56555,259.3088
56556,696.0858
56557,886.2612
56558,566.6833
56559,655.7157
56560,738.35425
56561,748.44666
56562,623.21606
56563,632.84656
56564,541.7783
56565,511.3955
56566,584.11444
56567,368.77005
56568,757.3696
56569,520.83215
56570,907.26666
56571,515.78864
56572,454.6165
56573,964.6125
56574,548.1907
56575,589.3844
56576,675.9493
56577,550.31683
56578,519.4819
56579,500.44687
56580,1033.1317
56581,746.23334
56582,501.4953
56583,636.3637
56584,637.7126
56585,808.11066
56586,581.06946
56587,532.9247
56588,801.5582
56589,659.6236
56590,804.7934
56591,583.4455
56592,483.93164
56593,572.6657
56594,552.8271
56595,676.83374
56596,984.1208
56597,682.88196
56598,495.7214
56599,471.69052
56600,697.6434
56601,865.1219
56602,607.61835
56603,568.47925
56604,581.0604
56605,492.85468
56606,527.8693
56607,466.93317
56608,612.0381
56609,491.84183
56610,789.95795
56611,700.836
56612,570.4247
56613,569.22974
56614,758.2616
56615,457.68726
56616,586.78314
56617,239.2877
56618,520.9386
56619,491.06595
56620,957.7461
56621,786.2885
56622,546.7283
56623,621.0124
56624,1029.7019
56625,658.2308
56626,452.35928
56627,475.44907
56628,615.30115
56629,598.8543
56630,382.82605
56631,573.3862
56632,586.62463
56633,783.68677
56634,623.7357
56635,864.0192
56636,205.25404
56637,910.873
56638,566.673
56639,581.5359
56640,573.05365
56641,692.72424
56642,732.3399
56643,499.60098
56644,545.8378
56645,785.506
56646,687.70905
56647,517.56573
56648,531.8399
56649,611.9049
56650,837.7195
56651,648.85626
56652,495.0032
56653,466.8489
56654,659.1212
56655,605.12524
56656,515.37146
56657,615.1056
56658,725.6732
56659,692.15845
56660,458.276
56661,744.955
56662,557.1076
56663,655.3551
56664,507.06723
56665,543.5161
56666,491.75247
56667,820.8946
56668,941.1845
56669,728.40356
56670,478.59924
56671,589.29504
56672,777.72144
56673,225.22429
56674,810.5197
56675,535.38806
56676,548.4522
56677,604.62915
56678,1035.617
56679,570.97205
56680,759.85846
56681,797.67865
56682,506.95792
56683,608.6868
56684,658.13513
56685,797.67865
56686,479.97418
56687,685.9153
56688,239.2877
56689,544.4765
56690,769.16736
56691,597.1435
