,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km),MakeAvg,Engine/Cylinders
145,6,FULL-SIZE,3.0,6.0,AS6,X,20.36659877800407,13.869625520110958,16.949152542372882,201.0,0.34317101657882515,0.5
151,4,SUV - SMALL,2.0,4.0,AV6,X,7.042253521126761,16.666666666666668,9.49667616334283,210.0,0.10750999072159767,0.5
158,1,SUV - SMALL,2.4,4.0,AV,X,17.32,56.497175141242934,25.16,110.0,0.3734598273946921,0.6
159,19,FULL-SIZE,5.7,8.0,A5,X,4.452359750667854,6.15,5.083884087442806,330.0,0.11778104235512704,0.7125
166,9,COMPACT,3.5,6.0,AS9,Z,3.88,5.89,4.582951420714941,222.0,0.2613909546434631,0.5833333333333334
168,15,TWO-SEATER,3.0,6.0,AM7,Z,5.31,5.524861878453039,5.41,296.0,0.2328061192239942,0.5
170,14,SUV - SMALL,2.4,4.0,M5,X,18.38235294117647,28.98550724637681,22.02,228.0,0.014703742880091549,0.6
173,14,SUV - STANDARD,5.7,8.0,A8,X,4.327131112072696,1.5720798616569722,2.42,348.0,0.014703742880091549,0.7125
178,14,SUV - SMALL,2.4,4.0,A9,X,6.480881399870382,13.88888888888889,8.547008547008547,225.0,0.014703742880091549,0.6
183,10,MID-SIZE,1.4,4.0,AV,X,10.1010101010101,4.739336492890995,6.702412868632708,181.0,0.13075557709860083,0.35
187,4,SUV - SMALL,2.4,4.0,AV6,X,4.38,6.8212824010914055,5.219206680584551,203.0,0.10750999072159767,0.6
189,10,SUV - STANDARD,3.5,6.0,AV6,X,6.451612903225806,10.73,7.867820613690007,185.0,0.13075557709860083,0.5833333333333334
192,16,SUV - SMALL,3.6,6.0,A6,X,2.54,16.286644951140065,4.1,296.0,0.31251434751127427,0.6
195,14,SUV - SMALL,3.5,6.0,M6,X,12.88659793814433,11.37656427758817,12.1654501216545,305.0,0.014703742880091549,0.5833333333333334
199,4,SUV - SMALL,2.4,4.0,AV6,X,17.064846416382252,7.79423226812159,11.12,214.0,0.10750999072159767,0.6
213,13,SUV - SMALL,2.0,4.0,AS6,Z,14.51378809869376,19.53125,16.420361247947454,388.7052090435928,0.4616911152907516,0.5
216,12,SUV - STANDARD,2.5,4.0,AV,X,5.370569280343716,16.09,7.67,210.0,0.22159697078984808,0.625
219,15,SUV - SMALL,2.0,4.0,AS8,Z,47.607457262914224,72.46376811594203,14.265335235378032,209.0,0.2328061192239942,0.5
222,16,SUV - SMALL,3.6,6.0,A6,X,2.911208151382824,36.7875806122519,3.9,325.0,0.31251434751127427,0.6
223,16,COMPACT,1.4,4.0,M6,X,15.08,34.10613292056602,9.174311926605505,116.0,0.31251434751127427,0.35
228,7,MINIVAN,3.3,6.0,AS6,X,3.0864197530864197,8.58,24.01542187027442,289.0,0.3722649650185522,0.5499999999999999
231,13,SUBCOMPACT,3.5,6.0,AS6,Z,21.73913043478261,21.29,21.50537634408602,258.0,0.4616911152907516,0.5833333333333334
233,7,SUV - SMALL,2.4,4.0,M6,X,6.31,12.077294685990339,8.03,413.0363242450434,0.3722649650185522,0.6
236,1,STATION WAGON - SMALL,1.5,4.0,M6,X,16.778523489932887,16.129032258064516,16.420361247947454,179.0,0.3734598273946921,0.375
241,16,VAN - PASSENGER,4.8,8.0,A6,X,5.19,42.48515561883132,5.2493438320209975,361.0,0.31251434751127427,0.6
242,17,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS8,E,5.22,5.76,5.46448087431694,212.0,1.0,0.5
243,7,STATION WAGON - SMALL,1.6,4.0,AM6,X,5.512679162072767,54.09938325331162,6.858710562414266,96.0,0.3722649650185522,0.4
250,15,SUBCOMPACT,3.0,6.0,AS8,Z,5.330490405117271,8.89,6.4935064935064934,221.0,0.2328061192239942,0.5
253,9,SUV - SMALL,3.5,6.0,AS6,Z,21.051716526832127,9.319664492078285,5.1840331778123385,245.0,0.2613909546434631,0.5833333333333334
260,12,STATION WAGON - SMALL,1.6,4.0,AV7,X,3.827018752391887,9.380863039399625,5.216484089723526,186.0,0.22159697078984808,0.4
261,17,PICKUP TRUCK - STANDARD,3.6,6.0,AS10,X,5.078720162519045,4.16,4.618937644341802,313.0,1.0,0.6
264,15,SUV - SMALL,1.5,4.0,AS8,D,6.19,59.15,10.309278350515465,205.0,0.2328061192239942,0.375
265,17,MID-SIZE,2.3,4.0,M6,Z,4.86,52.14710116199647,6.218905472636816,248.0,1.0,0.575
266,13,MID-SIZE,5.0,8.0,AV8,Z,3.6737692872887586,15.335999078764859,3.2,283.0,0.4616911152907516,0.625
267,13,SUV - SMALL,2.0,4.0,AS6,Z,6.4935064935064934,6.397952655150352,6.439150032195751,217.0,0.4616911152907516,0.5
272,16,SUBCOMPACT,2.0,4.0,AV,X,8.445945945945946,37.31343283582089,12.987012987012987,155.0,0.31251434751127427,0.5
275,5,COMPACT,2.0,4.0,AM7,Z,4.132231404958678,14.56,6.097560975609756,222.0,0.18105332461859827,0.5
278,5,COMPACT,2.0,4.0,M6,X,11.534025374855824,4.901960784313726,7.17,215.0,0.18105332461859827,0.5
279,6,SUV - SMALL,1.6,4.0,AM7,X,4.84,59.321149810805174,6.422607578676943,215.0,0.34317101657882515,0.4
284,7,SUV - SMALL,2.4,4.0,AS6,X,43.420635428527504,13.157894736842104,9.615384615384615,240.0,0.3722649650185522,0.6
294,16,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,36.552365902454895,48.07692307692307,10.799136069114471,420.0,0.31251434751127427,0.6625
299,11,SUV - STANDARD,2.0,4.0,AS8,Z,11.11111111111111,7.733952049497293,9.285051067780874,233.0,0.03366713263218451,0.5
303,15,SUV - STANDARD,3.0,6.0,AS8,D,9.009009009009008,13.297872340425533,10.51,232.0,0.2328061192239942,0.5
306,10,MINIVAN,1.4,4.0,AS6,X,38.22239034201365,3.2195750160978753,4.557885141294439,276.0,0.13075557709860083,0.35
312,6,FULL-SIZE,2.4,4.0,AS6,X,3.97,33.39,6.57,190.0,0.34317101657882515,0.6
313,17,MID-SIZE,2.3,4.0,M6,Z,3.055300947143294,7.8125,4.206983592763988,246.0,1.0,0.575
322,12,TWO-SEATER,2.0,4.0,AS7,Z,42.08968209578369,5.787037037037036,5.4945054945054945,274.0,0.22159697078984808,0.5
326,13,MID-SIZE,2.5,4.0,AV6,X,13.157894736842104,25.64102564102564,16.835016835016834,155.0,0.4616911152907516,0.625
332,15,COMPACT,2.0,4.0,AS8,Z,10.570824524312895,10.288065843621398,10.438413361169102,203.0,0.2328061192239942,0.5
333,12,TWO-SEATER,3.7,6.0,M6,Z,2.46,4.975124378109453,3.183699458771092,284.0,0.22159697078984808,0.6166666666666667
336,20,SUV - SMALL,2.0,4.0,AS9,Z,2.9171528588098017,12.360939431396787,4.45,281.0,0.07969935719583567,0.5
337,5,SUV - SMALL,2.0,4.0,AS6,Z,5.77,32.64,9.16,282.0,0.18105332461859827,0.5
339,10,MID-SIZE,2.5,4.0,AV,X,9.596928982725528,8.130081300813009,8.849557522123895,168.0,0.13075557709860083,0.625
345,16,COMPACT,1.8,4.0,AS6,X,10.319917440660475,5.57,7.46,195.0,0.31251434751127427,0.45
346,8,SUV - SMALL,3.6,6.0,AV6,X,5.319148936170213,23.25581395348837,8.156606851549755,243.0,0.16651708420640168,0.6
353,19,MINIVAN,3.6,6.0,A6,E,5.29,6.734006734006734,5.86,274.0,0.11778104235512704,0.6
356,10,PICKUP TRUCK - SMALL,2.7,4.0,AS6,X,32.36245954692557,59.53284304962248,17.006802721088437,280.0,0.13075557709860083,0.675
357,10,SUV - STANDARD,4.0,6.0,AS5,X,16.611295681063122,67.36549288586282,14.265335235378032,294.0,0.13075557709860083,0.6666666666666666
359,2,MID-SIZE,2.5,4.0,M6,X,5.5865921787709505,21.321961620469082,8.368200836820083,188.0,0.0,0.625
360,15,SUBCOMPACT,3.0,6.0,AM7,Z,17.064846416382252,19.15,17.857142857142854,292.0,0.2328061192239942,0.5
366,15,FULL-SIZE,4.4,8.0,A8,Z,10.090817356205852,30.253724513143847,5.7770075101097635,297.0,0.2328061192239942,0.55
392,2,MID-SIZE,2.5,4.0,M6,X,4.13,6.78,5.015045135406218,187.0,0.0,0.625
398,15,COMPACT,3.0,6.0,AS8,Z,7.352941176470589,13.01,9.14,224.0,0.2328061192239942,0.5
402,15,FULL-SIZE,4.4,8.0,AS8,Z,43.16311022977012,11.494252873563218,7.1022727272727275,291.0,0.2328061192239942,0.55
411,6,MID-SIZE,2.0,4.0,AS6,X,10.427528675703858,14.49,11.933174224343674,188.0,0.34317101657882515,0.5
416,2,TWO-SEATER,3.5,6.0,M6,Z,36.76470588235294,30.38974050577331,10.32,186.0,0.0,0.5833333333333334
424,14,SUV - SMALL,3.6,6.0,M6,X,2.86,43.47826086956522,4.93,315.0,0.014703742880091549,0.6
439,16,COMPACT,1.4,4.0,M6,X,6.8965517241379315,12.09,8.56898029134533,186.0,0.31251434751127427,0.35
441,15,COMPACT,3.0,6.0,M6,Z,19.607843137254903,25.44529262086514,21.87,242.0,0.2328061192239942,0.5
443,3,SUV - SMALL,2.4,4.0,A9,X,12.82051282051282,8.264462809917356,10.204081632653061,218.0,0.567858610062776,0.6
446,1,COMPACT,2.0,4.0,AV,X,27.82438715727982,46.12560459119308,26.13235425844748,178.0,0.3734598273946921,0.5
449,1,STATION WAGON - SMALL,1.5,4.0,AV7,X,20.08032128514056,16.28,18.18,181.0,0.3734598273946921,0.375
469,13,SUV - SMALL,2.5,4.0,AV6,X,14.40922190201729,19.083969465648853,16.181229773462785,138.0,0.4616911152907516,0.625
473,16,VAN - PASSENGER,3.7,6.0,A6,E,26.932084271757304,7.57,5.80046403712297,379.0,0.31251434751127427,0.6166666666666667
482,2,MID-SIZE,2.0,4.0,AS6,X,10.29,6.134969325153374,7.89,96.0,0.0,0.5
487,14,SUV - SMALL,2.0,4.0,AV,X,4.87,6.1500615006150054,5.373455131649651,232.0,0.014703742880091549,0.5
489,12,STATION WAGON - SMALL,2.0,4.0,AV8,X,14.641288433382137,63.69426751592356,22.39,201.0,0.22159697078984808,0.5
503,6,SUV - SMALL,3.3,6.0,A6,X,4.25,10.54,5.810575246949448,262.0,0.34317101657882515,0.5499999999999999
505,19,FULL-SIZE,3.0,6.0,A8,X,34.01204703664722,22.22222222222222,9.12,253.0,0.11778104235512704,0.5
507,16,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,20.81650181703512,12.224938875305623,5.47,343.0,0.31251434751127427,0.7166666666666667
509,5,SUBCOMPACT,2.0,4.0,AM6,Z,14.285714285714286,54.22,21.46,211.0,0.18105332461859827,0.5
518,8,STATION WAGON - SMALL,2.5,4.0,M5,Z,27.932960893854748,7.042253521126761,11.98,254.0,0.16651708420640168,0.625
528,14,SUV - SMALL,2.0,4.0,M5,X,3.0229746070133015,9.233610341643583,23.991900399294718,204.0,0.014703742880091549,0.5
529,20,SUV - STANDARD,5.0,8.0,AS8,Z,3.93,38.106698756518256,4.273504273504273,307.0,0.07969935719583567,0.625
530,6,SUV - SMALL,2.4,4.0,AS6,X,21.61,46.31377635903069,12.63,242.0,0.34317101657882515,0.6
540,15,COMPACT,3.0,6.0,M6,Z,30.3030303030303,9.29368029739777,14.992503748125937,232.0,0.2328061192239942,0.5
541,12,SUV - SMALL,3.6,6.0,AV,X,4.8,4.91,4.854368932038835,279.0,0.22159697078984808,0.6
542,10,MID-SIZE,3.5,6.0,AS8,X,1.9297568506368197,8.896797153024911,2.9797377830750893,224.0,0.13075557709860083,0.5833333333333334
550,21,TWO-SEATER,2.5,5.0,AM7,Z,3.6,66.12882267532189,4.83,385.0,0.13738198416456834,0.5
558,19,FULL-SIZE,6.4,8.0,A8,Z,6.191950464396285,17.45,8.726003490401396,652.9796654956654,0.11778104235512704,0.8
572,18,FULL-SIZE,2.5,4.0,AS8,X,12.422360248447204,7.225433526011561,9.38,263.0,0.40917622032231027,0.625
573,9,COMPACT,1.6,4.0,AM8,Z,5.81,26.31578947368421,8.968609865470851,198.0,0.2613909546434631,0.4
577,17,COMPACT,3.0,6.0,AM6,E,8.96,59.523809523809526,14.492753623188406,154.0,1.0,0.5
586,16,SUV - STANDARD,5.3,8.0,A6,X,9.34,13.94700139470014,10.964912280701755,310.0,0.31251434751127427,0.6625
588,10,COMPACT,1.5,4.0,AV,X,2.3529411764705883,7.33,3.39,179.0,0.13075557709860083,0.375
591,12,MID-SIZE,2.5,4.0,AV7,X,5.235602094240838,8.96,6.44,175.0,0.22159697078984808,0.625
600,15,FULL-SIZE,3.0,6.0,AS8,Z,4.784688995215311,7.369196757553427,5.6850483229107445,275.0,0.2328061192239942,0.5
612,16,PICKUP TRUCK - SMALL,2.5,4.0,M6,X,9.803921568627452,20.38,12.804097311139566,256.0,0.31251434751127427,0.625
613,18,MID-SIZE,2.0,4.0,AS8,Z,7.886435331230284,53.934732956453715,8.628127696289905,218.0,0.40917622032231027,0.5
615,6,FULL-SIZE,2.0,4.0,AS6,X,5.9523809523809526,7.84,6.68,211.0,0.34317101657882515,0.5
623,7,FULL-SIZE,2.0,4.0,M6,X,4.378283712784588,14.084507042253522,6.353240152477763,213.0,0.3722649650185522,0.5
624,15,SUV - STANDARD,4.4,8.0,AS8,Z,2.849814762040467,5.025125628140704,19.569863855110988,399.0,0.2328061192239942,0.55
625,13,MID-SIZE,2.5,5.0,AS8,Z,11.286681715575622,7.763975155279502,9.372071227741332,239.0,0.4616911152907516,0.5
631,15,FULL-SIZE,6.6,12.0,AS8,Z,4.0,6.211180124223602,4.761904761904762,447.0,0.2328061192239942,0.5499999999999999
635,19,FULL-SIZE,5.7,8.0,A8,X,2.51,8.16326530612245,3.65,288.0,0.11778104235512704,0.7125
638,17,SUV - STANDARD,3.5,6.0,AS10,X,3.4989503149055285,5.16,4.098360655737705,291.0,1.0,0.5833333333333334
645,11,SUV - STANDARD,2.0,4.0,AS8,Z,22.57,48.30426602938934,10.131712259371835,234.0,0.03366713263218451,0.5
648,16,MID-SIZE,1.4,4.0,M6,X,5.19,19.607843137254903,7.751937984496124,160.0,0.31251434751127427,0.35
653,15,COMPACT,3.0,6.0,AS8,Z,34.41191204330213,38.763384174546765,6.5359477124183005,225.0,0.2328061192239942,0.5
658,15,SUBCOMPACT,3.0,6.0,AM7,Z,26.555740736082093,7.604562737642586,5.753739930955121,296.0,0.2328061192239942,0.5
659,21,TWO-SEATER,5.2,10.0,AM7,Z,4.083299305839119,29.773506663728863,3.918495297805643,608.7948598876619,0.13738198416456834,0.52
661,5,MID-SIZE,3.6,6.0,AM6,X,10.0,15.406563491703961,25.544317483954963,234.0,0.18105332461859827,0.6
664,19,FULL-SIZE,3.6,6.0,A8,E,8.032128514056225,5.405405405405405,6.591957811470007,236.0,0.11778104235512704,0.6
665,1,SUV - SMALL,1.5,4.0,AV,X,15.5,57.14592408038282,10.17,178.0,0.3734598273946921,0.375
678,15,COMPACT,2.0,4.0,AS8,Z,26.95560574273701,26.31578947368421,7.7,205.0,0.2328061192239942,0.5
682,15,COMPACT,3.0,6.0,AS8,Z,17.97040382849134,38.84114958503528,21.145802410750935,218.0,0.2328061192239942,0.5
686,3,MINICOMPACT,1.4,4.0,A6,X,6.71,24.97,10.0,201.0,0.567858610062776,0.35
691,15,COMPACT,3.0,6.0,AS8,Z,10.266940451745379,27.13,14.26,228.0,0.2328061192239942,0.5
692,16,PICKUP TRUCK - STANDARD,4.3,6.0,A6,X,3.0220610456331216,8.695652173913043,4.278990158322635,364.0,0.31251434751127427,0.7166666666666667
693,17,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,X,4.81,7.26,5.67,284.0,1.0,0.5499999999999999
700,16,MID-SIZE,3.3,6.0,M6,X,3.597122302158273,8.445945945945946,4.849660523763336,180.0,0.31251434751127427,0.5499999999999999
701,21,TWO-SEATER,6.5,12.0,AM7,Z,12.376237623762377,8.14995925020375,10.04,365.0,0.13738198416456834,0.5416666666666666
703,14,SUV - SMALL,2.4,4.0,M6,X,31.77912238775614,37.54026768360232,27.07321309763551,215.0,0.014703742880091549,0.6
706,15,SUV - STANDARD,3.0,6.0,AS8,Z,4.5024763619991,8.361204013377925,5.681818181818182,285.0,0.2328061192239942,0.5
707,16,SUV - STANDARD,5.3,8.0,A6,E,15.16,19.49,16.84,309.0,0.31251434751127427,0.6625
709,6,MID-SIZE,2.4,4.0,AS6,X,14.13,9.13,11.363636363636363,292.9713105574623,0.34317101657882515,0.6
720,11,COMPACT,2.0,4.0,AS8,X,48.309178743961354,46.102083120213386,15.290519877675841,217.0,0.03366713263218451,0.5
723,15,SUBCOMPACT,4.4,8.0,AM7,Z,3.74,12.69,5.48,464.0,0.2328061192239942,0.55
728,16,MID-SIZE,1.8,4.0,AV,X,40.50397302704461,11.123470522803114,8.650519031141869,180.0,0.31251434751127427,0.45
738,5,COMPACT,2.0,4.0,M5,X,5.75,18.51851851851852,8.333333333333334,187.0,0.18105332461859827,0.5
742,5,COMPACT,2.0,4.0,M6,X,18.18181818181818,8.695652173913045,12.195121951219512,211.0,0.18105332461859827,0.5
746,14,SUV - SMALL,2.4,4.0,A9,X,1.9900497512437811,10.48,3.1318509238960224,216.0,0.014703742880091549,0.6
748,18,COMPACT,2.0,4.0,M6,Z,15.69,47.39336492890995,22.45,240.0,0.40917622032231027,0.5
750,17,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,E,8.904719501335707,65.06038872985215,10.0,263.0,1.0,0.5499999999999999
753,10,MINICOMPACT,2.0,4.0,AS6,Z,9.541984732824426,22.85,12.936610608020699,203.0,0.13075557709860083,0.5
754,2,COMPACT,2.5,4.0,AS6,X,32.786885245901644,9.29368029739777,15.33,181.0,0.0,0.625
765,15,SUBCOMPACT,2.0,4.0,AS8,Z,7.8125,11.778563015312132,9.22,210.0,0.2328061192239942,0.5
769,18,SUV - SMALL,2.0,4.0,AS9,Z,5.186721991701244,10.070493454179255,6.635700066357001,223.0,0.40917622032231027,0.5
774,16,SUV - SMALL,1.5,4.0,A6,X,38.24591181299335,29.069767441860467,10.526315789473685,207.0,0.31251434751127427,0.375
778,18,MID-SIZE,3.0,6.0,AS10,Z,3.3222591362126246,10.03,4.75,274.0,0.40917622032231027,0.5
780,1,STATION WAGON - SMALL,1.5,4.0,M6,X,8.333333333333334,18.18181818181818,10.989010989010989,142.0,0.3734598273946921,0.375
787,20,SUV - STANDARD,2.4,4.0,AS8,Z,3.717472118959108,25.906735751295336,6.024096385542169,361.0,0.07969935719583567,0.6
794,18,MID-SIZE,2.0,4.0,AS8,Z,5.747126436781609,2.0964360587002098,3.217503217503218,224.0,0.40917622032231027,0.5
795,2,TWO-SEATER,5.3,8.0,AS6,Z,3.2061558191728117,31.17,5.376344086021505,232.0,0.0,0.6625
796,6,SUV - SMALL,2.4,4.0,AS6,X,36.19,13.08,20.161290322580644,235.0,0.34317101657882515,0.6
797,15,SUV - STANDARD,2.5,4.0,AS8,Z,5.945303210463734,4.22,5.02260170768458,439.0,0.2328061192239942,0.625
799,17,MID-SIZE,1.5,4.0,AS6,X,25.64102564102564,43.891064848121516,12.78772378516624,193.0,1.0,0.375
800,5,SUV - SMALL,2.0,4.0,AS8,X,5.467468562055768,40.168810698123764,5.26,242.0,0.18105332461859827,0.5
803,19,MID-SIZE,2.0,4.0,M6,Z,3.5971223021582737,5.67,4.299226139294927,320.0,0.11778104235512704,0.5
805,13,SUV - SMALL,2.0,4.0,AS6,Z,4.219409282700422,23.752969121140143,6.70690811535882,225.0,0.4616911152907516,0.5
809,16,SUV - SMALL,5.7,8.0,A9,Z,17.793594306049823,5.51,8.88888888888889,226.0,0.31251434751127427,0.7125
810,15,COMPACT,3.0,6.0,M6,Z,43.86931294949803,21.098759468791535,25.37966718709706,266.0,0.2328061192239942,0.5
812,1,COMPACT,2.0,4.0,M6,X,31.25,31.354120815941037,10.330578512396695,152.0,0.3734598273946921,0.5
815,17,SUBCOMPACT,2.3,4.0,AS10,X,5.2,58.239162145738945,6.7294751009421265,222.0,1.0,0.575
825,10,PICKUP TRUCK - SMALL,3.5,6.0,AS6,X,8.474576271186441,12.269938650306749,9.85,269.0,0.13075557709860083,0.5833333333333334
826,17,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,2.62,7.4128984432913265,3.6954915003695494,265.0,1.0,0.625
833,19,FULL-SIZE,3.6,6.0,A8,X,37.65787503850083,8.87,7.604562737642586,248.0,0.11778104235512704,0.6
834,11,COMPACT,2.0,4.0,AS8,X,9.345794392523365,42.174426422151036,6.94,197.0,0.03366713263218451,0.5
838,10,MID-SIZE,3.5,6.0,AS6,X,6.891798759476224,8.35421888053467,7.479431563201197,220.0,0.13075557709860083,0.5833333333333334
840,16,MID-SIZE,1.4,4.0,M6,X,14.067558176980054,5.720823798627002,2.5588536335721597,194.0,0.31251434751127427,0.35
845,3,SUV - SMALL,2.4,4.0,A9,X,2.6525198938992043,11.695906432748536,4.07,221.0,0.567858610062776,0.6
851,4,COMPACT,1.2,3.0,M5,X,5.81,13.66120218579235,7.830853563038372,176.0,0.10750999072159767,0.39999999999999997
852,8,STATION WAGON - SMALL,2.0,4.0,M5,X,7.26,32.25806451612903,11.16,209.0,0.16651708420640168,0.5
854,15,FULL-SIZE,2.5,4.0,AS8,Z,19.40521355825308,9.00900900900901,4.837929366231252,293.0,0.2328061192239942,0.625
855,10,COMPACT,1.5,4.0,AV,X,14.124293785310734,11.12,12.594458438287154,180.0,0.13075557709860083,0.375
856,10,MID-SIZE,2.5,4.0,AV,X,7.8064012490242,16.949152542372882,10.330578512396695,151.0,0.13075557709860083,0.625
857,15,COMPACT,3.0,6.0,AS8,Z,6.93,7.67,7.24,242.0,0.2328061192239942,0.5
865,15,COMPACT,4.4,8.0,M6,Z,5.564830272676684,44.808402216329846,6.48,339.0,0.2328061192239942,0.55
866,19,SUV - SMALL,1.5,4.0,A4,X,2.6954177897574123,4.26,17.852796473592836,244.0,0.11778104235512704,0.375
870,18,COMPACT,2.0,4.0,AS6,Z,33.75331085587051,3.3647375504710633,24.721065999665438,232.0,0.40917622032231027,0.5
871,16,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,8.75,14.164305949008499,10.526315789473685,292.0,0.31251434751127427,0.6625
876,17,VAN - CARGO,4.6,8.0,A4,X,24.862194825543646,57.039567125774205,6.024096385542169,380.0,1.0,0.575
886,18,MID-SIZE,6.2,8.0,AS8,Z,4.84,25.14081682231375,3.9,218.0,0.40917622032231027,0.775
896,11,STATION WAGON - SMALL,5.3,8.0,AS8,Z,10.59,18.41620626151013,13.089005235602095,218.0,0.03366713263218451,0.6625
903,2,MID-SIZE,2.5,4.0,AS6,X,13.774104683195592,21.73913043478261,16.474464579901152,185.0,0.0,0.625
914,6,SUV - SMALL,2.4,4.0,A6,X,24.721065999665438,8.417508417508417,5.662514156285391,225.0,0.34317101657882515,0.6
918,5,COMPACT,1.4,4.0,AM7,Z,10.6,58.8235294117647,16.666666666666668,180.0,0.18105332461859827,0.35
923,19,MID-SIZE,2.5,4.0,M6,Z,28.19161257153834,37.03703703703704,5.955926146515783,392.0,0.11778104235512704,0.625
924,19,MID-SIZE,2.0,4.0,A6,X,6.81663258350375,15.85,9.17,194.0,0.11778104235512704,0.5
936,13,SUV - STANDARD,2.0,4.0,AS8,Z,17.57469244288225,6.5,9.900990099009901,344.0,0.4616911152907516,0.5
940,5,STATION WAGON - SMALL,2.0,4.0,AS6,X,16.366612111292962,8.547008547008547,11.627906976744185,191.0,0.18105332461859827,0.5
942,6,SUV - SMALL,2.4,4.0,AS6,X,26.41198171782399,24.83,5.4288816503800215,225.0,0.34317101657882515,0.6
944,17,FULL-SIZE,2.0,4.0,AV,X,12.453300124533003,13.245033112582782,12.804097311139566,131.0,1.0,0.5
945,17,SUBCOMPACT,5.8,8.0,M6,Z,5.73,58.02746890692164,7.199424046076314,449.60725464995113,1.0,0.725
946,14,SUV - SMALL,3.6,6.0,M6,X,13.513513513513514,10.53,11.990407673860911,338.0,0.014703742880091549,0.6
947,3,TWO-SEATER,4.4,8.0,A6,X,9.337068160597571,8.16326530612245,8.76424189307625,267.21777901827943,0.567858610062776,0.55
948,16,PICKUP TRUCK - STANDARD,6.2,8.0,A6,Z,24.60345864476694,18.867924528301884,6.788866259334691,317.0,0.31251434751127427,0.775
